Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$3,823,610,737","1,407,172","12,347,527","2,954,451"
CryptoPunks,"$1,872,306,725","4,963","19,539","3,396"
Art Blocks,"$1,145,227,877","24,081","132,657","28,202"
Bored Ape Yacht Club,"$1,021,497,561","8,829","23,480","6,093"
NBA Top Shot,"$832,477,281","386,282","13,792,625","619,413"
Mutant Ape Yacht Club,"$640,117,753","12,947","22,234","11,196"
The Sandbox,"$291,940,197","17,853","40,184","17,774"
Loot,"$269,140,643","3,754","10,396","2,530"
Meebits,"$252,897,733","5,489","14,507","5,511"
Cool Cats,"$220,607,806","8,412","23,945","5,044"
CloneX,"$201,201,932","4,149","7,061","7,367"
CrypToadz,"$193,681,843","6,986","16,596","3,670"
Parallel Alpha,"$176,772,501","13,145","76,111",
Sorare,"$171,137,642","51,825","924,701","74,566"
Farmers World,"$170,914,399","31,880","1,029,237","50,779"
MekaVerse,"$165,731,021","5,283","10,535","5,145"
Doodles,"$163,571,132","8,613","16,260","5,501"
0N1 Force,"$151,012,035","7,382","16,953","4,228"
Bored Ape Kennel Club,"$150,443,598","6,709","15,824","5,213"
PUNKS Comic,"$149,320,995","3,831","9,876","3,337"
CyberKongz,"$144,695,351","2,783","4,746","2,329"
Pudgy Penguins,"$141,551,986","10,495","27,948","4,713"
Zed Run,"$130,187,842","50,845","200,683","48,834"
Solana Monkey Business,"$120,758,806","3,141","7,015","2,458"
Degenerate Ape Academy,"$117,410,629","6,224","17,794","5,121"
Bored Ape Chemistry Club,"$116,613,537","1,727","3,002",
Veefriends,"$110,716,745","1,577","3,241","5,150"
Curio Cards,"$107,086,927","6,475","19,938",1
Creature World NFT,"$106,703,992","10,343","21,927","6,070"
RTFKT CloneX Mintvial,"$103,130,861","2,520","5,347",1
LOSTPOETS,"$94,748,024","8,006","21,720","5,766"
Emblem Vault,"$92,567,792","4,119","15,136","4,667"
World Of Women,"$90,357,579","7,038","18,515","4,678"
The Doge Pound,"$85,999,383","6,934","13,707","5,567"
Hashmasks,"$84,058,474","5,637","18,278","5,132"
Aurory,"$77,795,882","5,811","12,887","5,425"
Vox Collectibles,"$75,464,419","6,293","16,615","3,416"
Wolf Game,"$75,324,166","7,501","21,656","7,667"
Lazy Lions,"$72,009,938","9,428","22,676","5,006"
CyberKongz VX,"$67,829,637","6,018","15,573","4,282"
Sneaky Vampire Syndicate,"$66,575,745","5,565","13,153","4,594"
Fluf World,"$66,044,890","5,647","16,365","3,647"
Kaiju Kingz,"$65,313,467","2,820","4,718","2,280"
Prime Ape Planet,"$62,435,487","4,890","8,450",36
Mooncats,"$61,981,699","7,068","20,625","5,994"
Sup Ducks,"$60,455,895","6,415","16,130","3,383"
GalacticApes,"$58,121,987","6,577","17,488","3,428"
MutantCats,"$57,716,673","9,090","20,783","4,304"
adidas Originals,"$57,628,442","13,801","18,087",1
888 Inner Circle,"$56,934,438","5,690","11,345",1
Rumble Kong League,"$53,246,893","4,486","11,532","3,062"
Neo Tokyo Identities,"$53,143,109",789,"1,041","1,877"
Anonymice,"$49,748,266","2,651","6,523","1,877"
Galactic Gecko Space Garage,"$49,349,693","5,832","18,184","4,138"
Galaxy Eggs,"$47,163,020","7,388","16,268","5,024"
CryptoKitties,"$47,041,179","112,955","790,192","111,786"
Gutter Cat Gang,"$46,535,824","1,987","3,810",
DeadFellaz,"$45,330,819","9,728","20,301","5,669"
Adam Bomb Squad,"$44,388,615","9,876","26,379","8,208"
Wizards & Dragons Game,"$43,569,670","7,020","23,514","3,158"
Autoglyphs,"$43,293,266",186,352,158
Desperate ApeWives,"$41,680,393","4,839","11,570","4,654"
The Sevens,"$41,424,818","5,399","10,024","3,958"
Treeverse,"$41,209,093","4,967","10,896","3,789"
Koala Intelligence Agency,"$40,957,400","7,882","16,975","4,994"
The Shiboshis,"$40,869,800","2,880","6,892","3,615"
ApeKidsClub,"$40,730,741","7,285","15,919","5,284"
The Humanoids,"$40,338,697","8,878","19,365","5,156"
Crypto Bull Society,"$39,532,836","3,734","6,699","4,748"
The n project,"$39,001,299","4,852","12,214","1,836"
Chain Runners,"$36,892,363","3,895","8,943","3,141"
Peaceful Groupies,"$36,721,404","8,018","18,740","3,684"
Robotos Official,"$36,546,491","9,609","20,456","5,402"
Shadowy Super Coder,"$36,271,403","2,135","5,590","3,105"
MetaHero Universe Generative,"$36,071,999","1,164","1,751","2,969"
The CryptoDads,"$36,021,051","7,276","14,299","7,800"
Farming Tales,"$35,910,717","9,257","144,589","5,472"
Alien Worlds,"$35,817,650","426,516","4,943,701","2,793,821"
NFT Worlds,"$35,315,711","6,331","13,879","4,566"
GENART,"$34,595,687","3,750","6,888","2,409"
Bloot,"$34,037,136","6,183","14,557","4,021"
SolPunks,"$33,954,679","6,314","14,975","4,493"
Cryptovoxels,"$33,936,745","2,484","10,173","1,932"
JRNY NFT Club,"$33,265,175","2,566","3,463","7,654"
Blitmap,"$32,300,574",379,900,590
Metasaurs by Dr. DMT,"$29,984,963","6,760","13,812","5,404"
Psychedelics Anonymous Genesis,"$29,637,930","5,681","9,630",5
Tom Sachs Rocket Factory,"$29,441,607",745,"2,579",296
Frontier Game,"$29,159,589","4,755","11,154",
Party Ape Billionaire Club,"$28,996,622","5,809","12,455","4,659"
Animetas,"$28,166,509","5,731","16,443","4,033"
My Pet Hooligan,"$27,652,329","5,949","10,960","3,287"
Winter Bears,"$27,378,075","8,579","19,425","4,608"
Thug Birdz,"$27,252,416","2,920","5,997","2,181"
Forgotten Runes,"$26,223,618","4,061","12,709","2,625"
WebbLand,"$25,951,676","5,793","10,212",
Nanopass,"$25,436,366","3,360","4,984","3,936"
Meerkat Millionaires Country Club,"$24,837,085","5,238","9,983","4,595"
BugBears,"$24,428,492","7,673","18,368","6,015"
CryptoMories,"$24,306,216","8,469","19,684","4,634"
Bold Badgers,"$24,119,152","5,796","17,291","4,115"
the littles NFT,"$23,284,519","5,836","10,746","5,528"
Panini America,"$23,183,578","10,041","328,827","8,873"
Frakt,"$22,804,460","4,388","12,407","1,182"
The Wicked Craniums,"$22,669,034","7,210","20,891","4,597"
More Than Gamers,"$22,156,203","7,300","12,116",
The Vogu Collective,"$21,927,836","4,314","11,157","2,818"
ALIENFRENS,"$21,768,106","9,491","19,014",
Cupcats Official,"$21,660,312","3,151","8,408","1,901"
Galaxy Fight Club,"$21,362,603","4,468","15,382","2,611"
Stoner Cats,"$20,450,425","4,802","8,892","5,030"
Bastard Gan Punks V2,"$20,440,569","3,333","10,676","2,869"
Voxies,"$20,271,533","1,803","6,261","1,748"
Space Punks Club,"$20,125,504","5,756","12,668","4,547"
Deafbeef,"$19,956,980",95,139,111
DystoPunks V2,"$19,783,585","1,247","2,980",678
Habbo Avatars,"$19,716,977","4,330","9,941","4,409"
Sipherian Surge,"$19,395,422","5,439","13,014","3,728"
Solsteads,"$18,878,499","1,932","3,389","1,634"
Slotie,"$18,254,992","3,780","7,706","1,079"
R Planet,"$18,222,095","12,222","109,630","13,294"
inBetweeners,"$18,090,863","2,100","3,778",691
CryptoArte,"$18,056,492","4,202","9,895","3,383"
Monkey Bet DAO,"$17,969,794","6,385","14,039","3,735"
Incognito,"$17,625,328","5,259","15,939","3,313"
The Yakuza Cats Society,"$17,617,452","5,986","14,256","3,520"
Mike Tyson NFT,"$17,579,461",760,"1,420",323
hic et nunc,"$16,427,233","33,754","837,464","25,636"
Topps MLB,"$16,327,285","16,385","588,530","35,501"
Lonely Alien Space Club,"$16,310,312","5,025","13,318","3,908"
CoolmansUniverse,"$16,149,529","6,652","13,024",
MetaHero Universe DAO Tokens,"$16,025,705","3,167","6,688",1
Infinity Labs,"$15,973,113","3,850","11,297","3,054"
Divine Anarchy,"$15,268,887","5,084","9,920","4,828"
Gutter Rats,"$15,161,400","2,075","3,716",
Smilesss,"$15,053,476","4,296","8,293",21
Nifty League DEGENs,"$14,960,935","4,149","10,157","3,679"
World Poker Tour,"$14,693,499",835,"5,971","1,441"
FoxFam,"$14,681,257","5,059","12,678","3,107"
Avid Lines,"$14,680,309",279,497,261
Ethereum Name Service,"$14,516,833","4,576","8,198","235,575"
The Official Surreals,"$14,482,651","6,032","11,765","5,058"
OnChainMonkey,"$14,124,729","4,821","14,074","2,878"
Bulls On The Block,"$14,024,573","6,535","19,304","4,627"
Rogue Sharks,"$13,956,865","6,951","16,836","6,377"
Portals,"$13,915,710","3,180","6,035","2,936"
Dapper Dinos NFT,"$13,845,809","5,021","10,790","4,466"
Fat Ape Club,"$13,625,093","4,066","6,634","5,434"
The Wanderers,"$13,451,236","6,178","12,640","4,305"
StackedToadz,"$13,020,311","2,131","4,610","1,345"
Dead Heads,"$12,941,933","4,821","14,485","3,389"
TheHeartProject,"$12,617,027","5,886","13,399","4,795"
OGCR,"$12,453,673","4,317","17,448",
Boss Beauties,"$12,153,157","5,974","12,136","4,563"
CreatureToadz,"$12,145,666","4,966","9,572","4,909"
Bored Mummy Waking Up,"$12,101,811","6,347","15,678","3,682"
CryptoonGoonz,"$12,005,559","4,660","8,020","3,754"
Noundles,"$11,905,154","5,139","10,586","3,249"
Crypto Cannabis Club,"$11,729,844","4,760","10,904","4,212"
ALPACADABRAZ,"$11,628,736","4,258","9,033","3,508"
BYOPills,"$11,617,525","4,924","11,755","3,377"
Chicken Derby,"$11,450,290","4,832","21,438","5,662"
Colonize Mars,"$11,059,037","19,868","440,396","31,763"
HalloweenBears,"$11,033,004","5,230","12,661","3,732"
mfer,"$10,978,811","4,736","8,031","4,206"
Jenkins the Valet The Writers Room,"$10,828,692","4,025","8,540","2,820"
MonsterBuds,"$10,826,916","3,866","8,832","3,419"
BearGame,"$10,766,684","3,406","7,756",
Rogue Society Bot,"$10,690,054","7,206","15,048","6,967"
GOOP TROOP,"$10,648,584","3,321","8,561","2,408"
Gauntlets,"$10,306,403","3,026","6,766","3,859"
Mutant Garden Seeder,"$10,055,894",261,486,276
Goons of Balatroon,"$9,953,123","3,427","8,658","3,407"
Party Penguins,"$9,852,234","5,132","13,335","3,602"
SolChicks,"$9,771,689","2,883","5,330","3,071"
Async Blueprints,"$9,733,942",433,727,"1,228"
CryptoHoots Steampunk Parliament,"$9,728,393","1,759","4,172",967
Sollamas,"$9,672,149","4,524","10,190","3,558"
Axolittles,"$9,655,007","6,067","13,909","4,371"
Janky Heist,"$9,605,315","4,502","8,932","4,346"
Bricktopians,"$9,558,134","5,164","9,489",
Playboy Rabbitars Official,"$9,345,410","3,410","6,747","5,121"
Star Sailor Siblings,"$9,255,640","3,291","9,306","2,557"
NAH Fungible Bones,"$9,152,232","6,197","14,161","4,806"
Degenerate Trash Pandas,"$9,082,654","2,906","6,057","16,059"
Royal Society Players,"$8,897,029","1,530","7,443","1,625"
Generativemasks,"$8,871,162","4,044","9,707","3,552"
Chill Frogs NFT,"$8,727,494","3,847","9,619","2,412"
Purrnelopes Country Club,"$8,650,156","2,262","8,348","3,072"
Obits Official,"$8,620,977","4,998","10,994","2,990"
Jadu Hoverboard,"$8,598,847","1,658","3,139","3,325"
Space Poggers,"$8,569,287","4,315","12,658","3,420"
MetaLegends,"$8,493,789","2,461","4,520","4,881"
KingFrogs,"$8,408,194","5,003","10,004","5,566"
0xVampire,"$8,359,369","6,253","13,618","4,326"
BrainDrops,"$8,265,685","1,372","3,289","1,155"
Fancy Frenchies,"$8,185,830","5,718","13,155","4,488"
HeavenComputer,"$8,064,614","3,298","8,244","2,882"
Genesis Curry Flow,"$7,892,453","1,566","2,678",
Wrapped Strikers,"$7,630,979",881,"2,073",800
Pepsi Mic Drop,"$7,615,539","1,031","1,684",834
Xpansion,"$7,489,726","5,353","53,990","13,828"
Sad Frogs District,"$7,444,218","3,302","8,782","2,201"
Red Panda Squad,"$7,437,988","5,499","13,131","4,065"
Nyan Heroes,"$7,425,838","1,836","4,827","8,887"
DuskBreakers,"$7,402,898","3,006","7,775","3,201"
Piggy Sol Gang,"$7,366,025","4,092","10,648","2,340"
Crazy Lizard Army,"$7,315,542","2,984","10,638","1,922"
Brain Vomits Garden,"$7,187,492","3,651","6,816","2,334"
lobsterdao,"$7,162,439",438,774,"1,510"
Avastars,"$7,141,597","3,023","8,813","4,817"
JungleCats,"$7,034,534","3,911","7,501","2,869"
SolSnatchers,"$6,924,841","6,290","16,595","4,135"
F1 Delta Time,"$6,847,269","1,110","8,279","1,531"
JunkYardDogs,"$6,806,985","4,305","9,486","3,364"
Goldhunter,"$6,700,288","3,959","11,594","1,968"
Voxodeus,"$6,654,614","2,282","7,642","1,615"
Fly Frogs,"$6,616,520","5,218","11,170","3,879"
Pesky Penguins,"$6,505,114","1,947","3,277","3,912"
Visitors Of Imma Degen,"$6,464,571","3,474","10,801","2,747"
Apes In Space,"$6,455,434","3,456","5,171","2,431"
Rebel Seals Club,"$6,368,052","3,276","8,657","2,670"
Bubblegum Kids,"$6,303,696","3,683","10,446","3,442"
A.N.I.M.O,"$6,298,715","4,550","8,656",3
Nftrees,"$6,266,120",335,587,260
Toy Boogers,"$6,221,861","2,475","4,530",
Metabaes,"$6,194,546","5,360","11,922","4,889"
UninterestedUnicorns,"$6,077,574",948,"2,686","1,895"
CryptoZunks,"$6,075,857","5,042","10,899","3,638"
Nftboxes,"$5,870,414","1,654","4,363","3,338"
SlimHoods,"$5,772,050","4,508","7,211",
Wool Pouch,"$5,733,308","1,086","2,441","3,209"
Ether Cards Founder Series,"$5,699,839",522,"1,539","1,558"
The Alien Boy,"$5,679,544","4,771","14,233","3,648"
Illuvium,"$5,566,310","1,413","3,322",
COVIDPunks,"$5,450,907","4,451","10,153","3,879"
Famous Fox Federation,"$5,355,455","2,821","5,453","3,022"
Splinterlands,"$5,316,790","8,466","133,565","7,398"
Woodies Generative Characters,"$5,279,692","1,717","3,161","3,104"
Loopy Donuts,"$5,257,132","5,165","10,945","3,805"
Chain Saw,"$5,241,292",31,47,28
HIDDEN IN NOISE,"$5,165,000",639,"1,133",665
Fame Lady Squad,"$5,159,299","4,459","10,376","3,661"
Larva Lads,"$5,113,813","4,407","7,786","2,734"
EvoSnails NFT,"$5,103,426","2,959","5,952","2,677"
Nuclear Nerds,"$5,096,800","3,890","7,820","3,532"
The Lost Glitches,"$5,021,852","2,903","6,871","3,335"
Knights of Degen,"$5,014,080","2,142","6,007","2,539"
ApeDads,"$5,011,641","3,562","5,736",
Grim Syndicate,"$4,969,175","2,004","5,290","2,416"
